"filename", "language", "Go", "Markdown", "comment", "blank", "total"
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\runtime\waiting_pods_map.go", "Go", 103, 0, 40, 23, 166
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\types.go", "Go", 666, 0, 150, 110, 926
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\types_test.go", "Go", 1321, 0, 19, 36, 1376
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\cache.go", "Go", 558, 0, 127, 83, 768
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\cache_test.go", "Go", 1688, 0, 68, 122, 1878
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\comparer.go", "Go", 93, 0, 19, 24, 136
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\comparer_test.go", "Go", 158, 0, 15, 20, 193
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\debugger.go", "Go", 46, 0, 19, 8, 73
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\dumper.go", "Go", 53, 0, 25, 11, 89
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\signal.go", "Go", 3, 0, 19, 5, 27
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\debugger\signal_windows.go", "Go", 3, 0, 17, 4, 24
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\fake\fake_cache.go", "Go", 41, 0, 31, 19, 91
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\interface.go", "Go", 27, 0, 77, 19, 123
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\node_tree.go", "Go", 103, 0, 30, 11, 144
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\node_tree_test.go", "Go", 440, 0, 26, 18, 484
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\snapshot.go", "Go", 134, 0, 39, 26, 199
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\cache\snapshot_test.go", "Go", 206, 0, 15, 11, 232
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\heap\heap.go", "Go", 158, 0, 59, 30, 247
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\heap\heap_test.go", "Go", 176, 0, 37, 23, 236
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\events.go", "Go", 38, 0, 49, 5, 92
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\scheduling_queue.go", "Go", 685, 0, 230, 105, 1020
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\scheduling_queue_test.go", "Go", 1738, 0, 155, 135, 2028
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\internal\queue\testing.go", "Go", 31, 0, 18, 7, 56
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\metric_recorder.go", "Go", 37, 0, 24, 12, 73
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\metric_recorder_test.go", "Go", 77, 0, 16, 11, 104
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\metrics.go", "Go", 190, 0, 35, 26, 251
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\profile_metrics.go", "Go", 20, 0, 22, 8, 50
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\resources\resources.go", "Go", 143, 0, 40, 19, 202
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\metrics\resources\resources_test.go", "Go", 513, 0, 19, 13, 545
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\profile\profile.go", "Go", 80, 0, 22, 14, 116
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\profile\profile_test.go", "Go", 272, 0, 15, 13, 300
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\schedule_one.go", "Go", 626, 0, 156, 78, 860
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\schedule_one_test.go", "Go", 2489, 0, 76, 157, 2722
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\scheduler.go", "Go", 360, 0, 94, 65, 519
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\scheduler_test.go", "Go", 360, 0, 27, 41, 428
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\fake_extender.go", "Go", 259, 0, 80, 47, 386
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\fake_plugins.go", "Go", 145, 0, 52, 41, 238
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\framework_helpers.go", "Go", 99, 0, 30, 18, 147
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\workload_prep.go", "Go", 81, 0, 44, 13, 138
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\testing\wrappers.go", "Go", 487, 0, 122, 88, 697
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\pod_resources.go", "Go", 46, 0, 33, 7, 86
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\pod_resources_test.go", "Go", 148, 0, 15, 9, 172
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\utils.go", "Go", 96, 0, 34, 19, 149
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\util\utils_test.go", "Go", 217, 0, 21, 22, 260
"Total", "-", 55596, 2, 7759, 4910, 68267
